Frequency,CHD,BHC,YTA,ZHY,LZH,Vel_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Dis_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Acc_AVG
8.69141,18.8447,69.8601,274.607,108.742,109.579,108.742,8.69141,0.345079,1.27926,5.02853,1.99125,2.00658,1.99125,8.69141,1029.1,3815.04,14996.2,5938.36,5984.07,5938.36
8.78906,49.6774,108.437,220.066,159.124,142.353,142.353,8.78906,0.899573,1.96362,3.98501,2.88146,2.57778,2.57778,8.78906,2743.35,5988.27,12152.7,8787.35,7861.23,7861.23
8.88672,93.059,36.8225,128.586,137.764,255.929,128.586,8.88672,1.66662,0.659465,2.30288,2.46725,4.58351,2.30288,8.88672,5196.13,2056.05,7179.84,7692.3,14290.3,7179.84
8.98438,60.7921,29.2609,149.516,91.1325,112.355,91.1325,8.98438,1.07691,0.518346,2.64863,1.61438,1.99033,1.61438,8.98438,3431.75,1651.79,8440.27,5144.47,6342.5,5144.47
9.08203,89.9145,7.79594,78.1586,79.4375,142.284,79.4375,9.08203,1.57568,0.136617,1.36966,1.39208,2.4934,1.39208,9.08203,5130.89,444.868,4460.05,4533.03,8119.3,4533.03
9.17969,104.507,17.9182,54.4705,180.564,112.943,104.507,9.17969,1.81191,0.310661,0.944394,3.13058,1.95818,1.81191,9.17969,6027.72,1033.48,3141.73,10414.5,6514.3,6027.72
9.27734,149.482,99.8856,65.485,59.0294,169.313,99.8856,9.27734,2.56439,1.71356,1.12341,1.01266,2.9046,1.71356,9.27734,8713.48,5822.46,3817.21,3440.9,9869.47,5822.46
9.375,106.802,49.1617,304.914,146.501,77.9497,106.802,9.375,1.81313,0.834594,5.17638,2.48708,1.32331,1.81313,9.375,6291.18,2895.86,17960.9,8629.62,4591.61,6291.18
9.47266,55.6256,138.646,468.237,95.8895,124.454,124.454,9.47266,0.934594,2.32946,7.86708,1.61109,2.09102,2.09102,9.47266,3310.75,8251.98,27868.7,5707.2,7407.34,7407.34
9.57031,25.5538,183.236,65.5511,17.4029,172.239,65.5511,9.57031,0.424962,3.04722,1.09012,0.289412,2.86435,1.09012,9.57031,1536.6,11018.3,3941.72,1046.47,10357.1,3941.72
