Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Vel_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Dis_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Acc_AVG
7.71484,1937.08,1680.84,1646.31,2826.94,4760.79,1966.13,652.533,4294.36,4211.57,1966.13,7.71484,39.9613,34.6753,33.9628,58.3189,98.2136,40.5607,13.4616,88.5914,86.8835,40.5607,7.71484,93897.4,81476.7,79802.7,137032,230773,95305.8,31630.8,208164,204151,95305.8
7.8125,3131.38,1826.74,3717.82,1099.34,3131.87,1206.48,864.039,2804.66,9756.37,2804.66,7.8125,63.7919,37.214,75.7388,22.3955,63.802,24.5781,17.6021,57.136,198.755,57.136,7.8125,153711,89669.7,182498,53963.5,153736,59222.7,42413.4,137673,478915,137673
7.91016,1119.08,2287.63,3608.13,1983.2,850.729,190.689,737.98,6452.53,8862.43,1983.2,7.91016,22.5163,46.0279,72.5967,39.9027,17.1169,3.83673,14.8484,129.827,178.315,39.9027,7.91016,55619.6,113697,179328,98567.2,42282,9477.43,36678.3,320697,440471,98567.2
8.00781,167.911,2086.66,1440.89,1963.34,2209.65,385.85,759.511,6827.89,12959.4,1963.34,8.00781,3.33723,41.4723,28.6377,39.0214,43.9168,7.66876,15.0952,135.704,257.567,39.0214,8.00781,8448.37,104989,72497.9,98784.7,111178,19413.9,38214.5,343542,652046,98784.7
8.10547,1399.62,2677.92,2634.19,4562,1693.09,1124.22,1444.76,2571.98,5007.09,2571.98,8.10547,27.4822,52.5822,51.7237,89.5771,33.2447,22.0746,28.3686,50.5022,98.3168,50.5022,8.10547,71279.9,136381,134155,232334,86226.2,57254.3,73579,130986,255002,130986
8.20313,5576.97,2144.36,2329.87,5251.1,2889.95,864.238,1310.22,4259.87,4064.78,2889.95,8.20313,108.203,41.6044,45.2036,101.881,56.07,16.7677,25.4205,82.6488,78.8638,56.07,8.20313,287447,110524,120086,270651,148953,44544.3,67531,219561,209506,148953
8.30078,2350.45,2446.26,4512.66,2807.23,2514.58,860.64,1125.47,3815.1,3562.48,2514.58,8.30078,45.0664,46.9034,86.5234,53.8243,48.2133,16.5015,21.5791,73.1487,68.3051,48.2133,8.30078,122589,127586,235359,146412,131149,44887,58699.2,198978,185802,131149
8.39844,1495.32,2328.78,3997.4,1824.04,3145.61,448.565,909.917,1285.37,3640.06,1824.04,8.39844,28.3372,44.1317,75.7528,34.5666,59.6109,8.50055,17.2434,24.3585,68.9811,34.5666,8.39844,78906.7,122887,210938,96252.7,165990,23670.3,48015.4,67827.7,192082,96252.7
8.49609,2485.55,2132.96,626.165,4816.37,2123.2,794.495,855.223,2292.65,4233.9,2132.96,8.49609,46.5611,39.9561,11.7298,90.2237,39.7733,14.883,16.0207,42.9476,79.3124,39.9561,8.49609,132685,113863,33426.3,257110,113342,42412.1,45654,122388,226016,113863
8.59375,2486.25,2709.46,2004.01,6098.55,4496.35,725.398,1346.25,4367.96,4819.74,2709.46,8.59375,46.0449,50.1788,37.1141,112.944,83.2717,13.4343,24.9324,80.8939,89.2608,50.1788,8.59375,134248,146300,108209,329298,242785,39168.7,72692.4,235853,260247,146300
